,country,combined figures (kg/capita/year),household estimate (kg/capita/year),household estimate (tonnes/year),retail estimate (kg/capita/year),retail estimate (tonnes/year),food service estimate (kg/capita/year),food service estimate (tonnes/year),confidence in estimate,m49 code,region,source
160,Saint Kitts and Nevis,113,74,3903,13,676,26,1350,Low Confidence,659,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2084
161,Saint Lucia,116,72,13241,16,2859,28,5054,Very Low Confidence,662,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2085
162,Saint Martin (French part),113,74,2809,13,487,26,972,Low Confidence,663,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2086
163,Saint Vincent & Grenadines,116,72,8011,16,1730,28,3058,Very Low Confidence,670,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2087
164,Samoa,120,76,14923,16,3083,28,5449,Very Low Confidence,882,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2135
165,San Marino,123,84,2857,13,434,26,867,Low Confidence,674,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2172
166,Sao Tome and Principe,144,100,21422,16,3364,28,5947,Very Low Confidence,678,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2215
167,Saudi Arabia,151,105,3594080,20,673502,26,876260,High Confidence,682,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2239
168,Senegal,144,100,1622980,16,254879,28,450564,Very Low Confidence,686,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2216
169,Serbia,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173
170,Seychelles,132,93,9128,13,1252,26,2498,Low Confidence,690,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2217
171,Sierra Leone,147,103,802371,16,122200,28,216020,Very Low Confidence,694,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2218
172,Singapore,119,80,465355,13,74361,26,148418,Low Confidence,702,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2147
173,Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,Low Confidence,534,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2088
174,Slovakia,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043
175,Slovenia,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174
